Date,Open,High,Low,Close,Adj Close,Volume
2021-04-12,3978.540039,3980.520020,3961.899902,3961.899902,3961.899902,19441500
2021-04-13,3964.909912,3980.570068,3953.260010,3966.989990,3966.989990,24474700
2021-04-14,3973.330078,3982.080078,3968.679932,3976.280029,3976.280029,23439500
2021-04-15,3978.389893,3997.689941,3978.389893,3993.429932,3993.429932,23965400
2021-04-16,3992.560059,4037.610107,3991.199951,4032.989990,4032.989990,36668500
2021-04-19,4033.590088,4040.879883,4017.699951,4019.909912,4019.909912,23393900
2021-04-20,4014.010010,4018.659912,3935.830078,3940.459961,3940.459961,33916600
2021-04-21,3943.189941,3985.310059,3943.189941,3976.409912,3976.409912,27397700
2021-04-22,3979.580078,4017.189941,3979.580078,4014.800049,4014.800049,20988200
2021-04-23,4011.100098,4016.820068,3981.870117,4013.340088,4013.340088,19471300
2021-04-26,4013.070068,4026.330078,4004.530029,4020.830078,4020.830078,25159000
2021-04-27,4017.919922,4019.209961,4001.239990,4011.909912,4011.909912,27504300
2021-04-28,4011.020020,4026.739990,4006.340088,4015.030029,4015.030029,28225100
2021-04-29,4021.439941,4033.870117,3985.250000,3996.899902,3996.899902,34482600
2021-04-30,3993.189941,4004.840088,3974.719971,3974.739990,3974.739990,28081300
2021-05-03,3979.500000,4009.729980,3965.500000,4000.250000,4000.250000,20815100
2021-05-04,4001.129883,4018.139893,3919.459961,3924.800049,3924.800049,35163600
2021-05-05,3927.290039,4003.090088,3927.290039,4002.790039,4002.790039,30131400
2021-05-06,3997.699951,4022.739990,3974.820068,3999.439941,3999.439941,34946400
2021-05-07,3999.929932,4034.250000,3999.929932,4034.250000,4034.250000,27533900
2021-05-10,4031.989990,4035.659912,4014.669922,4023.350098,4023.350098,29530900
2021-05-11,4020.489990,4020.489990,3917.639893,3946.060059,3946.060059,34990600
2021-05-12,3947.649902,3964.800049,3925.850098,3947.429932,3947.429932,34878300
2021-05-14,3970.760010,4017.439941,3961.100098,4017.439941,4017.439941,26881300
